Character,Dialogue,Season,Episode
Monica,what is that supposed to mean,1,2
Monica,no it is not,1,2
Monica,trying desperately to change the subject so ross what is going on,1,2
Ross,pulls his hand away okay okay to his parents look i uh i realise,1,2
Joey,your folks are really that bad huh,1,2
Ross,well yknow these people are pros they know what they are doing they,1,2
Monica,boy i know they say you cannot change your parents boy if you,1,2
Ross,must pee goes to pee,1,2
Phoebe,yknow it is even worse when you are twins,1,2
Rachel,you are twins,1,2
Phoebe,yeah we do not speak she is like this highpowered driven career type,1,2
Chandler,what does she do,1,2
Phoebe,she is a waitress,1,2
Rachel,all right you guys i kinda gotta clean up now they all start to,1,2
Monica,chandler you are an only child right you do not have any of this,1,2
Chandler,well no although i did have an imaginary friend who my parents,1,2
Rachel,the lights please,1,2
Ross,how long was i in there,1,2
Rachel,im just cleaning up,1,2
Ross,dya uh dya need any help,1,2
Rachel,uh okay sure thanks she hands him the broom and sits down,1,2
Ross,anyway um starts to sweep so you uh you nervous about barry,1,2
Rachel,oh a little,1,2
Ross,mmhmm,1,2
Rachel,a lot,1,2
Ross,mm,1,2
Rachel,so got any advice yknow as someone who is recently been dumped,1,2
Ross,well you may wanna steer clear of the word  wouldumped chances are he is,1,2
Rachel,oh you have got carol tomorrow when did it get so complicated,1,2
Ross,got me,1,2
Rachel,remember when we were in high school together,1,2
Ross,yeah,1,2
Rachel,i mean didnot you think you were just gonna meet somone fall in love,1,2
Ross,yes yes,1,2
Rachel,oh man i never thought i would be here she leans back onto his hand,1,2
Ross,me either he pulls up a stool so that he doesnot have to move his,1,2
Ross,entering sorry im late i was stuck at work there was this big,1,2
Ross,how could i forget,1,2
Ross,they shake hands hello susan to carol good shake good shake so,1,2
Ross,dr oberman okay and is he,1,2
Ross,she of course she uh familiar with our special situation,1,2
Ross,okay that is great susan gives her drink to carol no im oh,1,2
Ross,picks up a surgical instrament and mimes a duck with it quack quack,1,2
Rachel,barry,1,2
Rachel,hesitates are you sure,1,2
Rachel,im uh im okay you look great,1,2
Rachel,i dumped him,1,2
Ross,so um so how is this uh how is this gonna work yknow with us yknow,1,2
Ross,well uh uh i do not know okay okay how about with the uh with the,1,2
Ross,marlon,1,2
Ross,as in mouse,1,2
Ross,still you you say minnie you hear mouse um how about um how about,1,2
Ross, isfunny um uh we agreed we would spend the rest of our lives together,1,2
Rachel,oh not much ii got a job,1,2
Rachel,why are why are you so tanned,1,2
Rachel,oh no you went on our honeymoon alone,1,2
Rachel,mindy my maid of honour mindy,1,2
Rachel,oh well um grabs his forehand you have got plugs,1,2
Rachel,and you have got lenses but you hate sticking your finger in your eye,1,2
Rachel,okay,1,2
Rachel,wow,1,2
Rachel,what,1,2
Rachel,anyway um gets the ring out of her purse i guess this belongs to,1,2
Ross,helen geller i do not think so,1,2
Ross,thank you,1,2
Ross,what it is gonna be helen willick,1,2
Ross,well wait a minute wha why is she in the title,1,2
Ross,oh  isfunny really um i do not remember you making any sperm,1,2
Ross,no no no she gets a credit hey im in there too,1,2
Ross,of course not im suggesting gellerwillickbunch,1,2
Ross,my way youyou think this is my way believe me of all the ways i ever,1,2
Ross,you uh yknow what im gonna go i do not i do not think i can be,1,2
Ross,oh my god,1,2
Ross,well isnot that amazing,1,2
Joey,what are we supposed to be seeing here,1,2
Chandler,i dunno but i think it is about to attack the enterprise,1,2
Phoebe,you know if you tilt your head to the left and relax your eyes it,1,2
Ross,then do not do that alright,1,2
Phoebe,okay,1,2
Ross,walks over to where monica is standingmonica whaddya think,1,2
Monica,welling up mmhmm,1,2
Ross,wh are you welling up,1,2
Monica,no,1,2
Ross,you are you are welling up,1,2
Monica,am not,1,2
Ross,you are gonna be an aunt,1,2
Monica,pushes him and starts to cry oh shut up,1,2
Rachel,on phone hi mindy hi itit is rachel yeah im fine ii saw barry,1,2
Phoebe,entering hi guys,1,3
Ross,hey oh oh how would it go,1,3
Phoebe,um not so good he walked me to the subway and said we should do this,1,3
Rachel,what he said we should do it again that is good right,1,3
Monica,uh no loosely translated we should do this again means you will,1,3
Rachel,since when,1,3
Joey,since always it is like dating language yknow like it is not you means,1,3
Chandler,or you are such a nice guy means im gonna be dating leatherwearing,1,3
Phoebe,or or yknow um i think we should see other people means ha ha,1,3
Rachel,and everybody knows this,1,3
Joey,yeah cushions the blow,1,3
Chandler,yeah it is like when you are a kid and your parents put your dog to,1,3
Ross,that is funny that no because uh our parents actually did uh send,1,3
Monica,uh ross,1,3
Ross,what wh hello the millners farm in connecticut the millners they had,1,3
Chandler,so how does it feel knowing you are about to die,1,3
Joey,warden in five minutes my pain will be over but you will have to,1,3
Chandler,hey that was really good,1,3
Joey,thanks let is keep going,1,3
Chandler,okay so whaddya want from me damone huh,1,3
Joey,i just wanna go back to my cell cause in my cell i can,1,3
Chandler,smoke away,1,3
Chandler,i think this is probably why damone smokes in his cell alone,1,3
Joey,what,1,3
Chandler,relax your hand,1,3
Chandler,not so much,1,3
Joey,whoah,1,3
Chandler,hey,1,3
Joey,hey,1,3
Chandler,alright now try taking a puff,1,3
Chandler,alright okay no give it to me,1,3
Joey,no no no i am not giving you a cigarette,1,3
Chandler,it is fine it is fine look do you wanna get this part or not here,1,3
Chandler,do not think of it as a cigarette think of it as the thing that is been,1,3
Joey,ymiss it,1,3
Chandler,nah not so much alright now we smoke takes a puff oh my,1,3
Monica,no no no they say it is the same as the distance from the tip of a,1,3
Joey,that is ridiculous,1,3
Ross,can i use either thumb,1,3
Rachel,carrying a tray of drinks alright do not tell me do not tell me,1,3
Rachel,leaving to serve others good for me,1,3
Joey,yokay phoebe,1,3
Phoebe,yeah no im just it is i havenot worked it is my bank,1,3
Monica,what did they do to you,1,3
Phoebe,it is nothing it is just okay im going through my mail and i open up,1,3
Ross,easy,1,3
Phoebe, and there is five hundred extra dollars in my account,1,3
Chandler,oh satan is minions at work again,1,3
Phoebe,yes cause now i have to go down there and deal with them,1,3
Joey,what are you talking about keep it,1,3
Phoebe,it is not mine i didnot earn it if i kept it it would be like,1,3
Rachel,yeah but if you spent it it would be like shopping,1,3
Phoebe,okay okay let is say i bought a really great pair of shoes do you know,1,3
Monica,we are with you we got it,1,3
Phoebe,okay i would just i would never be able to enjoy it it would be like this,1,3
Rachel,chandler what are you doing,1,3
Monica,puling him up hey whaddya doing,1,3
Ross,what is this,1,3
Chandler,im smoking im smoking im smoking,1,3
Phoebe,oh i cannot believe you you have been so good for three years,1,3
Chandler,and this is my reward,1,3
Ross,hold on a second alright just think about what you went through the last,1,3
Chandler,okay so this time i wonot quit,1,3
Chandler,all right im putting it out im putting it out he drops it in,1,3
Phoebe,oh no i i cannot drink this now,1,3
Monica,alright im gonna go change i have got a date,1,3
Rachel,this alan again how is it goin,1,3
Monica, isgoing pretty good yknow it is nice and we are having fun,1,3
Joey,so when do we get to meet the guy,1,3
Monica,let is see today is monday never,1,3
Monica,no not after what happened with steve,1,3
Chandler,what are you talking about we love schhteve schhteve was schhexy,1,3
Monica,look i do not even know how i feel about him yet just give me a chance,1,3
Rachel,well then can we meet him,1,3
Monica,nope schhorry,1,3
Monica,i mean why should i let them meet him i mean i bring a guy home and,1,3
Monica,i know i just wish that once i would bring a guy home that they actually,1,3
Joey,let it go ross,1,3
Ross,yeah well you didnot know chi chi,1,3
Monica,do you all promise,1,3
Monica,shouts to chandler chandler do you promise to be good,1,3
Joey,you can come in but your filtertipped little buddy has to stay outside,1,3
Ross,hey pheebs,1,3
Phoebe, wouldear ms buffay thank you for calling attention to our error we have,1,3
Rachel,what bank is this,1,3
Monica,hey it is him on the intercom who is it,1,3
Joey,shouting to chandler chandler he is here,1,3
Monica,to all okay please be good please just remember how much you,1,3
Monica,hi alan this is everybody everybody this is alan,1,3
Monica,to alan thanks i will call you tomorrow alan exits to all okay,1,3
Monica,come on,1,3
Ross,i will go let is start with the way he kept picking at no im sorry i,1,3
Monica,wait a minute we are talking about someone that im going out,1,3
Rachel,and did you notice she spreads her thumb and index finger,1,3
Joey,know what was great the way his smile was kinda crooked,1,3
Phoebe,yes yes like the man in the shoe,1,3
Ross,what shoe,1,3
Phoebe,from the nursery rhyme there was a crooked man who had a crooked,1,3
Ross,so i think alan will become the yardstick against which all future,1,3
Rachel,what future boyfriends nono i th i think this could be yknow it,1,3
Monica,really,1,3
Chandler,oh yeah i would marry him just for his david hasselhof impression alone,1,3
Ross,you know what i like most about him though,1,3
Ross,the way he makes me feel about myself,1,3
Monica,hi how was the game,1,3
Ross,well,1,3
Monica,fantastic i have one question how is that possible,1,3
Joey,alan,1,3
Ross,he was unbelievable he was like thatthatthat bugs bunny cartoon where,1,3
Rachel,i mean itit was like it was like he made us into a team,1,3
Chandler,yep we sure showed those hassidic jewellers a thing or two about,1,3
Monica,can i ask you guys a question dyou ever think that alan is maybe,1,3
Ross,what,1,3
Monica,i dunno a little too alan,1,3
Rachel,well no that is impossible you can never be too alan,1,3
Ross,yeah it is his uh innate alanness thatthatthat we adore,1,3
Chandler,i personally could have a gallon of alan,1,3
Phoebe,hey lizzie,1,3
Phoebe,i brought you alphabet soup,1,3
Phoebe,yes but i left in the ys cause yknow sometimes y uh,1,3
Phoebe,no but would you like a thousand dollars and a football phone,1,3
Phoebe,i know,1,3
Phoebe,no i want you to have it i do not want it,1,3
Phoebe,oh that is fine no,1,3
Phoebe,no cause you need that no it is okay thanks,1,3
Phoebe,okay alright you buy me a soda and then we are even okay,1,3
Phoebe,okay,1,3
Phoebe,no im fine,1,3
Phoebe,huh,1,3
Ross,a thumb,1,3
Phoebe,i know i know i opened it up and there it was just floating in there,1,3
Chandler,well maybe it is a contest yknow like collect all five,1,3
Phoebe,does um anyone wanna see,1,3
Rachel,it is worse than the thumb,1,3
Chandler,hey this is so unfair,1,3
Monica,oh why is it unfair,1,3
Chandler,so i have a flaw big deal like joey is constant knucklecracking,1,3
Joey,does the knucklecracking bother everybody,1,3
Rachel,well ii could live without it,1,3
Joey,well is it like a little annoying or is it like when phoebe chews her,1,3
Ross,oh now do not listen to him pheebs i think it is endearing,1,3
Joey,oh imitating ross you do do you,1,3
Ross,you know there is nothing wrong with speaking correctly,1,3
Rachel,indeed there isnot i should really get back to work,1,3
Phoebe,yeah cause otherwise someone might get what they actually ordered,1,3
Rachel,ohhhohooohhh the hair comes out and the gloves come on,1,3
Monica,did you ever go out with a guy your friends all really like,1,3
Monica,okay well im going out with a guy my friends all really like,1,3
Monica,can you believe it yknow what i just do not feel the thing,1,3
Monica,i know it is gonna be really hard,1,3
Monica,no he will be fine it is the other five im worried about,1,3
Joey,do you have any respect for your body,1,3
Ross,do not you realise what you areyou are doing to yourself,1,3
Chandler,hey yknow i have had it with you guys and your cancer and your,1,3
Rachel,holding the phone out to chandler chandler it is alan he wants to,1,3
Chandler,really he does taking the phone hey buddy what is up oh she,1,3
Rachel,to ross who has wandered up god he is good,1,3
Ross,if only he were a woman,1,3
Rachel,yeah,1,3
Chandler,ooh lambchop how old is that sock if i had a sock on my hand for,1,3
Ross,okay i think it is time to change somebody is nicotine patch does so,1,3
Monica,entering hey where is joey,1,3
Chandler,joey ate my last stick of gum so i killed him do you think that was,1,3
Rachel,i think he is across the hall,1,3
Monica,thanks goes to fetch him,1,3
Ross,finishing changing chandler is nicotine patch there ygo,1,3
Chandler,deadpan ooh im alive with pleasure now,1,3
Ross,hey pheebs you gonna have the rest of that poptart pheebs,1,3
Phoebe,does anyone want the rest of this poptart,1,3
Ross,hey i might,1,3
Phoebe,sorry yknow those stupid soda people gave me seven thousand dollars,1,3
Phoebe,and on my way over here i stepped in gum what is up with the,1,3
Joey,dragged in by monica he has just gotten out of the shower what is going,1,3
Monica,nothing i just think it is nice when we are all here together,1,3
Joey,even nicer when everyone gets to wear their underwear,1,3
Rachel,uh joey,1,3
Joey,oh god hurriedly closes his legs,1,3
Monica,turns off the tv okay,1,3
Monica,please guys we have to talk,1,3
Phoebe,wait wait im getting a deja vuno im not,1,3
Monica,alright we have to talk,1,3
Phoebe,there it is,1,3
Monica,okay it isit is about alan there is something that you should know i,1,3
Ross,is there somebody else,1,3
Monica,no nononono it is just things change people change,1,3
Rachel,we didnot change,1,3
Joey,so that is it it is over just like that,1,3
Phoebe,you know you let your guard down you start to really care about,1,3
Monica,look i i could go on pretending,1,3
Joey,okay,1,3
Monica,but that wouldnot be fair to me it wouldnot be fair to alan it,1,3
Ross,whowho wants fair yknow i just want things back yknow the way they,1,3
Monica,im sorry,1,3
Chandler,sarcastic oh she is sorry i feel better,1,3
Rachel,tearful i just cannot believe this i mean with the holidays coming,1,3
Monica,i will meet somone else there will be other alans,1,3
Monica,are you guys gonna be okay,1,3
Ross,hey hey we will be fine we are just gonna need a little time,1,3
Monica,dubious i understand,1,3
Monica,im im really sorry,1,3
Monica,relieved,1,3
Rachel,remember when we went to central park and rented boats that was fun,1,3
Ross,yeah he could row like a viking,1,3
Monica,entering hi,1,3
Ross,so how would it go,1,3
Monica,oh yknow,1,3
Phoebe,did he mention us,1,3
Monica,he said he is really gonna miss you guys dubious look,1,3
Ross,you had a rough day huh cmere she sits down and ross strokes her,1,3
Chandler,that is it im getting cigarettes,1,3
Chandler,leaving i do not care i do not care game is over im weak i have,1,3
Phoebe,shouting as he leaves if you never smoke again i will give you seven,1,3
Chandler,returns yeah alright,1,3
Monica,alright phoebe,1,4
Phoebe,okay okay if i were omnipotent for a day,1,4
Ross,yeah see you took mine chandler what,1,4
Chandler,uh if i were omnipotent for a day i would,1,4
Rachel,see there is always one guy mocking,1,4
Monica,hey joey what would you do if you were,1,4
Joey,probably kill myself,1,4
Monica,excuse me,1,4
Joey,hey if little joey is dead then i got no,1,4
Ross,joey uh omnipotent,1,4
Joey,you are ross im sorry,1,4
Monica,how does she do that,1,4
Ross,i cannot sleep in a public place,1,4
Monica,would you look at her she is so peaceful,1,4
Phoebe,waking and startling them oh what what,1,4
Ross,it is okay yknow you just nodded off again,1,4
Monica,what is going on with you,1,4
Phoebe,i got no sleep last night,1,4
Ross,why,1,4
Phoebe,my grandmother has this new boyfriend and,1,4
Monica,well if you want you can stay with rachel,1,4
Phoebe,thanks,1,4
Joey,ninetyfive ninetysix ninetyseven see,1,4
Chandler,you got waaaay too much free time,1,4
